Marca temporal,text,sentiment
2021/05/26 11:37:48 a. m. GMT-5,Kay unquyqa llapallan runakunata qawachichkan,0
2021/05/26 2:23:54 p. m. GMT-5,"Covid hunquy sinchi llakiypin tarichiwanchik kay q'alan pachamamapi tiyaqta,  runa kuna manchas, llakisqa kausaqushayqu hinallataq puriy kachakuyqu",0
2021/05/26 7:48:39 p. m. GMT-5,"Kay unquyqa liwi runa kunatamam wañuy apachkan misti, wacha , sipa, machu, qana aychayuq, ruyaq aychay",0
2021/05/26 8:16:13 p. m. GMT-5,"Kay unquyqa supaypa ruwasqanmi, mana chusmi kawsasqanchismanta kanmanchu",0
2021/05/27 12:31:44 a. m. GMT-5,Manchakuypaqmi kay unquyqa Tiqsimuyuta muyuchkan,0
2021/05/27 1:36:38 a. m. GMT-5,Ancha llakisqa. Runa wañuch,0
2021/05/27 3:03:56 a. m. GMT-5,Millay unquy. Liwi runa kuba wañuchiy,0
2021/05/27 12:35:19 p. m. GMT-5,Supay Onqoy,0
2021/05/27 1:02:19 p. m. GMT-5,ñakaq onccoy,0
2021/05/27 5:46:23 p. m. GMT-5,Kay oncoy sinchi runa wañuchin mana kanchu kuna kama hampiy,0
2021/05/28 12:25:25 a. m. GMT-5,Covid unquymi runata sipichkan,0
2021/05/28 7:34:33 p. m. GMT-5,Ñuqa wasillaypim qipani,1
2021/05/28 7:34:50 p. m. GMT-5,Nuqa wayiichawmi taakuu,1
2021/05/28 8:07:17 p. m. GMT-5,"Kay COVID 19 pandemiam llaqta runakunata yuyaymanachiwasun allin ruwayniyuq kananchikpaq, democracia ukupi kawsakunanchikpaq, warmi qarikunapas allin kawsay aypay atinanpaq",2
2021/05/28 8:07:17 p. m. GMT-5,"Thanillanqan, llapamanta tatichisunchis. Yuyariy ¡Qanllataqmi coronavirus vacunaqa kanki!",2
2021/05/27 5:46:23 p. m. GMT-5,"Ama manchakuychu, kashanmi coronavirusmanta allin willakukunapas",2
2021/05/27 1:36:38 a. m. GMT-5,"Mana hampinakuna wasitam kay pachapura, wamanishu unqusqap kachkanki chayqa",1
2021/05/26 8:16:13 p. m. GMT-5,"Mana allinchu kaspaqa, Karum Kay mana lluqsiychu, 113 telefono nisqaqa wahakuy",1
2021/05/26 2:23:54 p. m. GMT-5,"Ama llank’anaykipi huñukuyman puriychu, aswan wasillaykimanta llamk’ay",1
2021/05/27 5:46:23 p. m. GMT-5,"Ama chimpaychu chanin huñusqa runakunaman: taki-tusuqkunaman, puqllaqkunaman nitaq asinakunaman",1
2021/05/27 3:03:56 a. m. GMT-5,"Makiykita maqllikuy sapa ratu, chulli, ch’uhu hap’isunki chayqa, riqraykiwan pakayuy mana huqkunaman chiqichinaykipaq",1
2021/05/28 8:07:17 p. m. GMT-5,Hawkalla kuyaywam Coronavirus unquypa gallina paq,2
2021/05/28 9:07:17 p. m. GMT-5,Paqta llukiyay gubiernun chikuna vacuna nisqantapas chayamusqantawan manaña hancha hancha runakunaq wañusqakunapaq,2
